Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, @Mon, W 3-2, 1, 1, 0, 2, 29, 0, 5.9
Daniil Tarasov, Healthy, Cls, G, FA, @Ana, W 7-4, 1, 1, 0, 2, 27, 0, 5.7
Samuel Ersson, Healthy, Phi, G, BBS, @Chi, W 3-1, 1, 1, 0, 1, 21, 0, 5.6
Jeremy Swayman, Healthy, Bos, G, SALT, @Edm, W 6-5, 1, 1, 0, 5, 37, 0, 5.2
Ilya Samsonov, Healthy, Tor, G, HERB, @Ari, W 6-3, 1, 1, 0, 3, 23, 0, 4.8
Arvid Soderblom, Healthy, Chi, G, FA, Phi, L 1-3, 1, 0, 1, 3, 30, 0, 0.5
Linus Ullmark, Healthy, Bos, G, LKR, @Edm, W 6-5, --, --, --, --, --, --, --
Stuart Skinner, Healthy, Edm, G, ME, Bos, L 5-6, 1, 0, 0, 6, 30, 0, 0.0
Carter Hart, IR, Phi, G, FA, @Chi, W 3-1, --, --, --, --, --, --, --
Connor Ingram, Healthy, Ari, G, OXP, Tor, L 3-6, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, @Ari, W 6-3, --, --, --, --, --, --, --
Devon Levi, Healthy, Buf, G, SALT, @Mon, W 3-2, --, --, --, --, --, --, --
Petr Mrazek, Healthy, Chi, G, FA, Phi, L 1-3, --, --, --, --, --, --, --
Jake Allen, Healthy, NJ, G, FA, --, --, --, --, --, --, --, --, --
Martin Jones, Healthy, Tor, G, FA, @Ari, W 6-3, --, --, --, --, --, --, --
Lukas Dostal, Healthy, Ana, G, FA, Cls, L 4-7, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, Bos, L 5-6, --, --, --, --, --, --, --
Jack Campbell, Healthy, Edm, G, FA, Bos, L 5-6, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, @Ari, W 6-3, --, --, --, --, --, --, --
Carey Price, IR, Mon, G, FA, Buf, L 2-3, --, --, --, --, --, --, --
Cayden Primeau, Healthy, Mon, G, FA, Buf, L 2-3, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, @Edm, W 6-5, --, --, --, --, --, --, --
Eric Comrie, Healthy, Buf, G, FA, @Mon, W 3-2, --, --, --, --, --, --, --
Jet Greaves, Healthy, Cls, G, FA, @Ana, W 7-4, --, --, --, --, --, --, --
Cal Petersen, Healthy, Phi, G, FA, @Chi, W 3-1, --, --, --, --, --, --, --
Felix Sandstrom, Healthy, Phi, G, FA, @Chi, W 3-1, --, --, --, --, --, --, --
Craig Anderson, Healthy, Buf, G, FA, @Mon, W 3-2, --, --, --, --, --, --, --
Mike Smith, Healthy, Edm, G, FA, Bos, L 5-6, --, --, --, --, --, --, --
Drew Commesso, Healthy, Chi, G, FA, Phi, L 1-3, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, Phi, L 1-3, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Bos, G, FA, @Edm, W 6-5, --, --, --, --, --, --, --
Adam Gajan, Healthy, Chi, G, FA, Phi, L 1-3, --, --, --, --, --, --, --
Jaxson Stauber, Healthy, Chi, G, FA, Phi, L 1-3, --, --, --, --, --, --, --
Alex Stalock, Healthy, Ana, G, FA, Cls, L 4-7, --, --, --, --, --, --, --
Michael Hrabal, Healthy, Ari, G, FA, Tor, L 3-6, --, --, --, --, --, --, --
Antti Niemi, Healthy, Mon, G, FA, Buf, L 2-3, --, --, --, --, --, --, --
Mikko Koskinen, Healthy, Edm, G, FA, Bos, L 5-6, --, --, --, --, --, --, --
Dennis Hildeby, Healthy, Tor, G, FA, @Ari, W 6-3, --, --, --, --, --, --, --
Jett Alexander, Healthy, Tor, G, FA, @Ari, W 6-3, --, --, --, --, --, --, --
Olle Eriksson Ek, Healthy, Ana, G, FA, Cls, L 4-7, --, --, --, --, --, --, --
Damian Clara, Healthy, Ana, G, FA, Cls, L 4-7, --, --, --, --, --, --, --
