Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Brady Tkachuk, Healthy, Ott, LW, BOWS, @Wsh, L 3-6, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 3, 4, 1, 8.1
Ryan Pulock, Healthy, NYI, D, FA, @Dal, W 3-2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5, 7.6
Aliaksei Protas, Healthy, Wsh, C, FA, Ott, W 6-3, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 7.6
Beck Malenstyn, Healthy, Wsh, LW, FA, Ott, W 6-3, 1, 1, 1, 3, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 1, 7.0
Evan Bouchard, Healthy, Edm, D, DINK, LA, W 4-2, 1, 1, 1, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 3, 2, 2, 6.95
David Pastrnak, Healthy, Bos, RW, CLB, @Sea, L 3-4, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 6.65
Shane Pinto, Healthy, Ott, C, CLB, @Wsh, L 3-6, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 5, 7, 0, 1, 1, 0, 6.2
Ryan Nugent-Hopkins, Healthy, Edm, C, BBS, LA, W 4-2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 11, 6, 0, 2, 2, 1, 6.05
Logan Stankoven, Healthy, Dal, C, SALT, NYI, L 2-3, 1, 1, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 5, 2, 5.95
Hendrix Lapierre, Healthy, Wsh, C, FA, Ott, W 6-3, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 3, 2, 0, 2, 0, 1, 5.8
Leon Draisaitl, Healthy, Edm, C- LW, SALT, LA, W 4-2, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 3, 2, 0, 5, 1, 0, 5.4
Bo Horvat, Healthy, NYI, C, DINK, @Dal, W 3-2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 10, 9, 0, 7, 2, 1, 5.4
Anthony Mantha, Healthy, Vgk, RW, FA, --, --, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4.6
Mathew Barzal, Healthy, NYI, C, LKR, @Dal, W 3-2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 4, 4, 2, 4.5
Connor McDavid, Healthy, Edm, C, DINK, LA, W 4-2, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 4, 5, 0, 3, 2, 0, 4.3
John Carlson, Healthy, Wsh, D, ME, Ott, W 6-3, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4.2
Connor McMichael, Healthy, Wsh, C, FA, Ott, W 6-3, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 6, 9, 0, 1, 0, 1, 4.05
Charlie McAvoy, Healthy, Bos, D, SLC, @Sea, L 3-4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4.0
