Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Martin Jones, Healthy, Tor, G, FA, @Ana, W 2-1, 1, 1, 0, 1, 27, 0, 6.2
Nico Daws, Healthy, NJ, G, FA, @Wsh, W 6-3, 1, 1, 0, 3, 23, 0, 4.8
Lukas Dostal, Healthy, Ana, G, FA, Tor, L 1-2, 1, 0, 0, 2, 55, 0, 4.5
Ilya Samsonov, Healthy, Tor, G, HERB, @Ana, W 2-1, --, --, --, --, --, --, --
Vitek Vanecek, IR, SJ, G, BOWS, --, --, --, --, --, --, --, --, --
Charlie Lindgren, Healthy, Wsh, G, HERB, NJ, L 3-6, --, --, --, --, --, --, --
Joseph Woll, Healthy, Tor, G, BBS, @Ana, W 2-1, --, --, --, --, --, --, --
Darcy Kuemper, Healthy, Wsh, G, FA, NJ, L 3-6, --, --, --, --, --, --, --
John Gibson, Healthy, Ana, G, FA, Tor, L 1-2, --, --, --, --, --, --, --
Akira Schmid, Healthy, NJ, G, FA, @Wsh, W 6-3, --, --, --, --, --, --, --
Matt Murray, IR, Tor, G, FA, @Ana, W 2-1, --, --, --, --, --, --, --
Alex Stalock, Healthy, Ana, G, FA, Tor, L 1-2, --, --, --, --, --, --, --
Jonathan Bernier, Healthy, NJ, G, FA, @Wsh, W 6-3, --, --, --, --, --, --, --
Jett Alexander, Healthy, Tor, G, FA, @Ana, W 2-1, --, --, --, --, --, --, --
Olle Eriksson Ek, Healthy, Ana, G, FA, Tor, L 1-2, --, --, --, --, --, --, --
Andrew Hammond, Healthy, NJ, G, FA, @Wsh, W 6-3, --, --, --, --, --, --, --
Damian Clara, Healthy, Ana, G, FA, Tor, L 1-2, --, --, --, --, --, --, --
Zach Fucale, Healthy, Wsh, G, FA, NJ, L 3-6, --, --, --, --, --, --, --
Keith Petruzzelli, Healthy, Tor, G, FA, @Ana, W 2-1, --, --, --, --, --, --, --
Erik Kallgren, Healthy, NJ, G, FA, @Wsh, W 6-3, --, --, --, --, --, --, --
Eddie Lack, Healthy, NJ, G, FA, @Wsh, W 6-3, --, --, --, --, --, --, --
Keith Kinkaid, Healthy, NJ, G, FA, @Wsh, W 6-3, --, --, --, --, --, --, --
Tom Hodges, Healthy, Ana, G, FA, Tor, L 1-2, --, --, --, --, --, --, --
Carter Hutton, Healthy, Tor, G, FA, @Ana, W 2-1, --, --, --, --, --, --, --
Hunter Shepard, Healthy, Wsh, G, FA, NJ, L 3-6, 1, 0, 1, 6, 22, 0, -1.8
Connor Hellebuyck, Healthy, Wpg, G, HERB, --, --, --, --, --, --, --, --, --
Igor Shesterkin, Healthy, NYR, G, DINK, --, --, --, --, --, --, --, --, --
Alexandar Georgiev, Healthy, Col, G, SLC, --, --, --, --, --, --, --, --, --
Jeremy Swayman, Healthy, Bos, G, SALT, --, --, --, --, --, --, --, --, --
Andrei Vasilevskiy, Healthy, TB, G, LKR, --, --, --, --, --, --, --, --, --
Thatcher Demko, IR, Van, G, BOWS, --, --, --, --, --, --, --, --, --
Linus Ullmark, Healthy, Bos, G, LKR, --, --, --, --, --, --, --, --, --
Juuse Saros, Healthy, Nsh, G, SALT, --, --, --, --, --, --, --, --, --
Sergei Bobrovsky, Healthy, Fla, G, ME, --, --, --, --, --, --, --, --, --
Ilya Sorokin, Healthy, NYI, G, CLB, --, --, --, --, --, --, --, --, --
Jake Oettinger, Healthy, Dal, G, LKR, --, --, --, --, --, --, --, --, --
Stuart Skinner, Healthy, Edm, G, ME, --, --, --, --, --, --, --, --, --
Adin Hill, O, Vgk, G, DINK, --, --, --, --, --, --, --, --, --
Tristan Jarry, Healthy, Pit, G, SLC, --, --, --, --, --, --, --, --, --
Cam Talbot, Healthy, LA, G, BOWS, --, --, --, --, --, --, --, --, --
Logan Thompson, Healthy, Vgk, G, DINK, --, --, --, --, --, --, --, --, --
Frederik Andersen, Healthy, Car, G, BBS, --, --, --, --, --, --, --, --, --
Jacob Markstrom, Healthy, Cgy, G, BBS, --, --, --, --, --, --, --, --, --
Jordan Binnington, Healthy, StL, G, ME, --, --, --, --, --, --, --, --, --
Filip Gustavsson, Healthy, Min, G, BOWS, --, --, --, --, --, --, --, --, --
Ukko-Pekka Luukkonen, Healthy, Buf, G, CLB, --, --, --, --, --, --, --, --, --
Carter Hart, IR, Phi, G, FA, --, --, --, --, --, --, --, --, --
Joey Daccord, Healthy, Sea, G, FA, --, --, --, --, --, --, --, --, --
Pyotr Kochetkov, Healthy, Car, G, BBS, --, --, --, --, --, --, --, --, --
Connor Ingram, Healthy, Ari, G, OXP, --, --, --, --, --, --, --, --, --
Jonathan Quick, Healthy, NYR, G, OXP, --, --, --, --, --, --, --, --, --
Spencer Knight, Healthy, Fla, G, FA, --, --, --, --, --, --, --, --, --
