Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Teuvo Teravainen, Healthy, Car, RW, OXP, SJ, W 3-0, 1, 3, 0, 2, 0, 1, 0, 0, 0, 1, 2, 1, 1, 5, 0, 0, 11.1
Erik Haula, Healthy, NJ, LW, FA, Buf, W 5-4, 1, 2, 0, 2, 0, 0, 0, 1, 0, 1, 9, 3, 0, 4, 0, 1, 8.5
Drew Doughty, Healthy, LA, D, BBS, @Ari, W 5-4, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 1, 2, 7.7
J.T. Miller, Healthy, Van, C- LW- RW, HERB, StL, W 5-0, 1, 1, 2, 3, 0, 0, 0, 1, 0, 0, 7, 9, 0, 1, 0, 0, 7.4
Quinn Hughes, Healthy, Van, D, HERB, StL, W 5-0, 1, 2, 0, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 6.2
Seth Jarvis, Healthy, Car, RW- C, BBS, SJ, W 3-0, 1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 4, 5, 0, 3, 4, 1, 6.15
J.J. Moser, Healthy, Ari, D, FA, LA, L 4-5, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 5.7
William Karlsson, IR, Vgk, C, HERB, Chi, L 3-4, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 14, 4, 0, 1, 0, 1, 5.4
Elias Pettersson, Healthy, Van, C- LW, SLC, StL, W 5-0, 1, 0, 2, 2, 0, 0, 0, 0, 1, 0, 7, 5, 0, 0, 1, 0, 5.25
Shea Theodore, IR, Vgk, D, BBS, Chi, L 3-4, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 5.2
Mattias Samuelsson, Healthy, Buf, D, FA, @NJ, L 4-5, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6, 5.2
Tom Wilson, DTD, Wsh, RW, CLB, Min, W 3-2, 1, 1, 0, 1, 2, 0, 0, 1, 0, 0, 1, 2, 0, 4, 3, 1, 5.0
Mikey Anderson, Healthy, LA, D, FA, @Ari, W 5-4, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 5.0
Rasmus Dahlin, Healthy, Buf, D, BBS, @NJ, L 4-5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5, 4.9
Quinton Byfield, Healthy, LA, C- LW, FA, @Ari, W 5-4, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 0, 0, 4.8
Sebastian Aho, Healthy, Car, C, LKR, SJ, W 3-0, 1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 3, 2, 0, 4, 0, 0, 4.75
Adrian Kempe, Healthy, LA, RW- LW, BOWS, @Ari, W 5-4, 1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 1, 0, 4.75
Sean Durzi, Healthy, Ari, D, BOWS, LA, L 4-5, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 4.7
Luke Hughes, Healthy, NJ, D, SLC, Buf, W 5-4, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 1, 4.15
Brayden McNabb, Healthy, Vgk, D, LKR, Chi, L 3-4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4.0
Trevor van Riemsdyk, Healthy, Wsh, D, FA, Min, W 3-2, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 3.95
Henri Jokiharju, Healthy, Buf, D, FA, @NJ, L 4-5, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 3.8
Jesper Bratt, Healthy, NJ, RW, HERB, Buf, W 5-4, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3.7
Jack McBain, Healthy, Ari, C- LW, FA, LA, L 4-5, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 8, 5, 0, 1, 5, 0, 3.7
Matias Maccelli, Healthy, Ari, LW, FA, LA, L 4-5, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 3.6
