Name, Health, NHL Team, Position, GFHL Team, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Connor McDavid, Healthy, Edm, C, DINK, 77, 62, 84, 17, 36, 21, 47, 4, 3, 10, 490, 464, 2, 327, 84, 39, 377.4
Leon Draisaitl, Healthy, Edm, LW- C, SALT, 75, 50, 70, 6, 24, 30, 28, 1, 1, 10, 761, 626, 2, 238, 61, 39, 318.45
David Pastrnak, Healthy, Bos, RW, CLB, 77, 56, 47, 32, 36, 18, 17, 0, 0, 10, 8, 11, 2, 374, 85, 32, 300.75
Auston Matthews, Healthy, Tor, C, BOWS, 69, 37, 42, 30, 20, 13, 13, 0, 0, 8, 528, 474, 0, 304, 76, 86, 269.35
Elias Pettersson, Healthy, Van, C, SLC, 74, 36, 60, 14, 12, 6, 18, 4, 4, 6, 413, 520, 0, 241, 61, 82, 261.0
Matthew Tkachuk, Healthy, Fla, LW- RW, CLB, 74, 38, 64, 26, 92, 14, 20, 0, 1, 4, 13, 15, 2, 297, 58, 31, 258.95
Jason Robertson, Healthy, Dal, LW, ME, 76, 42, 55, 31, 20, 10, 25, 0, 0, 7, 0, 1, 1, 293, 52, 17, 253.55
Mikko Rantanen, Healthy, Col, RW, HERB, 75, 49, 43, 10, 68, 11, 22, 0, 0, 9, 195, 213, 2, 279, 75, 39, 252.8
Nikita Kucherov, Healthy, TB, RW, DINK, 77, 29, 77, 5, 32, 8, 37, 0, 0, 4, 1, 0, 0, 254, 56, 27, 245.85
J.T. Miller, Healthy, Van, C- LW, HERB, 75, 29, 47, -8, 55, 10, 18, 5, 3, 2, 426, 360, 0, 205, 179, 49, 243.05
Sidney Crosby, Healthy, Pit, C, DINK, 77, 31, 57, 8, 52, 8, 16, 0, 0, 8, 919, 813, 0, 239, 70, 46, 240.8
John Tavares, Healthy, Tor, C, BBS, 75, 33, 43, -7, 34, 16, 20, 0, 0, 7, 698, 494, 1, 255, 106, 34, 240.3
Nathan MacKinnon, Healthy, Col, C, HERB, 64, 34, 63, 22, 30, 10, 21, 0, 0, 5, 474, 588, 0, 329, 50, 35, 239.75
Mika Zibanejad, Healthy, NYR, C, ME, 77, 39, 44, 23, 20, 20, 14, 1, 1, 5, 640, 675, 0, 239, 68, 45, 237.05
Brady Tkachuk, Healthy, Ott, LW- C, BOWS, 77, 34, 44, -12, 107, 10, 18, 0, 0, 6, 345, 369, 0, 325, 229, 9, 236.1
Mitchell Marner, DTD, Tor, RW, OXP, 75, 28, 67, 16, 28, 8, 26, 4, 1, 4, 0, 4, 0, 180, 51, 44, 235.85
Anze Kopitar, Healthy, LA, C, LKR, 77, 26, 42, 19, 4, 6, 12, 0, 1, 4, 851, 660, 1, 154, 66, 83, 232.65
Nico Hischier, Healthy, NJ, C, SLC, 76, 31, 42, 30, 8, 7, 11, 3, 1, 9, 834, 716, 0, 244, 30, 58, 232.4
Patrice Bergeron, DTD, Bos, C, CLB, 74, 27, 30, 33, 22, 9, 9, 2, 0, 7, 984, 643, 0, 241, 62, 52, 231.85
Alex Ovechkin, Healthy, Wsh, LW, SALT, 71, 42, 31, -12, 48, 14, 11, 0, 0, 3, 4, 4, 2, 289, 183, 23, 231.75
Brayden Point, Healthy, TB, C- RW, BBS, 77, 48, 41, 7, 7, 19, 10, 0, 0, 9, 399, 385, 0, 218, 32, 34, 231.1
Steven Stamkos, Healthy, TB, C- LW- RW, HERB, 76, 33, 47, -1, 42, 13, 19, 0, 0, 6, 464, 393, 1, 228, 84, 46, 229.15
Jacob Trouba, Healthy, NYR, D, BBS, 77, 8, 22, 7, 59, 2, 3, 1, 1, 2, 0, 1, 0, 194, 210, 188, 228.4
Jamie Benn, Healthy, Dal, LW- C, LKR, 76, 32, 40, 19, 30, 13, 14, 2, 1, 4, 484, 329, 1, 179, 91, 35, 227.45
Mikhail Sergachev, DTD, TB, D, CLB, 75, 9, 50, 14, 53, 3, 22, 0, 1, 2, 0, 0, 0, 145, 119, 144, 226.65
