Name, Health, NHL Team, Position, GFHL Team, Opponent, Score, GS, W, L, GA, SV, SO, FPTS
Tristan Jarry, O, Pit, G, DINK, @TB, W 6-2, 1, 1, 0, 2, 26, 0, 5.6
Robin Lehner, O, VGK, G, ME, Sea, W 4-3, 1, 1, 0, 3, 28, 0, 5.3
Andrei Vasilevskiy, Healthy, TB, G, LKR, Pit, L 2-6, 1, 0, 1, 3, 29, 0, 0.4
Casey DeSmith, Healthy, Pit, G, FA, @TB, W 6-2, 0, 0, 0, 0, 0, 0, --
Chris Driedger, Healthy, Sea, G, FA, @VGK, L 3-4, 0, 0, 0, 0, 0, 0, --
Logan Thompson, Healthy, VGK, G, FA, Sea, W 4-3, 0, 0, 0, 0, 0, 0, --
Brian Elliott, Healthy, TB, G, FA, Pit, L 2-6, 0, 0, 0, 0, 0, 0, --
Laurent Brossoit, IR, VGK, G, FA, Sea, W 4-3, 0, 0, 0, 0, 0, 0, --
Louis Domingue, Healthy, Pit, G, FA, @TB, W 6-2, 0, 0, 0, 0, 0, 0, --
Curtis McElhinney, Healthy, TB, G, FA, Pit, L 2-6, 0, 0, 0, 0, 0, 0, --
Joey Daccord, Healthy, Sea, G, FA, @VGK, L 3-4, 0, 0, 0, 0, 0, 0, --
Maxime Lagace, Healthy, TB, G, FA, Pit, L 2-6, 0, 0, 0, 0, 0, 0, --
Oscar Dansk, Healthy, VGK, G, FA, Sea, W 4-3, 0, 0, 0, 0, 0, 0, --
Mike Condon, Healthy, TB, G, FA, Pit, L 2-6, 0, 0, 0, 0, 0, 0, --
Antoine Bibeau, Healthy, Sea, G, FA, @VGK, L 3-4, 0, 0, 0, 0, 0, 0, --
Anders Nilsson, Healthy, TB, G, FA, Pit, L 2-6, 0, 0, 0, 0, 0, 0, --
Philipp Grubauer, Healthy, Sea, G, FA, @VGK, L 3-4, 1, 0, 1, 4, 26, 0, -0.4
Igor Shesterkin, Healthy, NYR, G, DINK, --, --, 0, 0, 0, 0, 0, 0, --
Darcy Kuemper, Healthy, Col, G, SALT, --, --, 0, 0, 0, 0, 0, 0, --
Jacob Markstrom, Healthy, Cgy, G, DINK, --, --, 0, 0, 0, 0, 0, 0, --
Juuse Saros, O, Nsh, G, BOWS, --, --, 0, 0, 0, 0, 0, 0, --
Jack Campbell, Healthy, Tor, G, OXP, --, --, 0, 0, 0, 0, 0, 0, --
Sergei Bobrovsky, Healthy, Fla, G, SALT, --, --, 0, 0, 0, 0, 0, 0, --
